sentence,question,correct answer,chatgpt answer,evaluation
"Ervin megkérdezte Józsit, hogy kölcsönkérhet-e egy kis pénzt.",Ki kérhet kölcsön egy kis pénzt? Ervin vagy Józsi?,Ervin,Ervin kérhet kölcsön egy kis pénzt Józsitól.,j
"Ervin megkérdezte Józsit, hogy kölcsönkérhet-e egy kis pénzt.",Ki kérhet kölcsön egy kis pénzt? Ervin vagy Józsi?,Ervin,Ervin kéri kölcsön a pénzt Józsitól.,j
"Ervin megkérdezte Józsit, hogy kölcsönkérhet-e egy kis pénzt.",Ki kérhet kölcsön egy kis pénzt? Ervin vagy Józsi?,Ervin,Ervin kérhet kölcsön egy kis pénzt.,j
"Ervin megkérdezte Józsit, hogy kölcsönkérhet-e egy kis pénzt.",Ki kérhet kölcsön egy kis pénzt? Ervin vagy Józsi?,Ervin,Ervin kérhet kölcsön egy kis pénzt Józsitól.,j
"Ervin megkérdezte Józsit, hogy kölcsönkérhet-e egy kis pénzt.",Ki kérhet kölcsön egy kis pénzt? Ervin vagy Józsi?,Ervin,Ervin kérhet kölcsön egy kis pénzt.,j
"Ervin megkérdezte Józsit, hogy kölcsönkérhet-e egy kis pénzt.",Ki kérhet kölcsön egy kis pénzt? Ervin vagy Józsi?,Ervin,Ervin kérhet kölcsön egy kis pénzt Józsitől.,j
"Ervin megkérdezte Józsit, hogy kölcsönkérhet-e egy kis pénzt.",Ki kérhet kölcsön egy kis pénzt? Ervin vagy Józsi?,Ervin,Ervin kérhet kölcsön egy kis pénzt Józsitól.,j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin megkérdezte Józsit, hogy van-e pénze. A kérdés alapján nem derül ki, hogy kinek van-e pénze. Ervin lehet, hogy azért kérdezte meg Józsit, mert nem tudja, hogy Józsinak vagy neki van-e pénze.",j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin megkérdezte Józsit, hogy van-e pénze. A kérdés alapján nem derül ki, hogy melyiküknek van pénze.",j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin kérdezte Józsit arról, hogy van-e neki pénze. Tehát a kérdés szerint Józsinak lehet vagy nem lehet pénze, nem pedig Ervinnek.",j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin kérdezte Józsit, tehát Józsinak van-e pénze.",j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin kérdezte Józsit, hogy van-e pénze. Tehát Józsinak van-e pénze.",j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"A kérdés azt kérdezi, hogy van-e pénze Ervinnek vagy Józsinak.",n
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin felszólította Józsit, hogy árulja el, van-e pénze. Tehát Józnak van-e pénze.",j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,Józsinak van-e pénze.,j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin kérdezte Józsit, tehát Józsinak van-e pénze.",j
"Ervin megkérdezte Józsit, hogy van-e pénze.",Kinek van-e pénze? Ervinnek vagy Józsinak?,Józsinak,"Ervin kérdezi Józsit, tehát Ervinnek nincs pénze, míg Józsinak lehet van, vagy lehet nincs.",n
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"Valaki az asztalt verte le, ami miatt a hegedű leesett.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,Az mondat szerint valaki leverte a hegedűt az asztalról.,j
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"Valaki az asztalt vert le, aminek következtében a hegedű leesett.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"A mondat értelmezése szerint valaki leütötte az asztalt, ami miatt a hegedű leesett róla. Tehát az asztalt verték le, nem pedig a hegedűt.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"Valaki leverte az asztalt, ami miatt a hegedű leesett.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"Valaki leverte az asztalt, és ennek következményeként a hegedű leesett az asztalról.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"Valaki leverte az asztalt, ami miatt a hegedű leesett.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"Valaki az asztalt verte le, így a hegedű leesett a földre.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"Valaki az asztalt verte le, mely miatt a hegedű leesett róla.",r
"A hegedű leesett az asztalról, mert valaki leverte.",Mit vert le valaki? a hegedűt vagy az asztalt?,a hegedűt,"A ""valaki"" leverte az asztalt, aminek következtében a hegedű leesett róla.",r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,"Lilinől azt mondják, hogy ő volt szomorú.",r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Lili megölelte Imolát, mert szomorú volt.",Ki volt szomorú? Lili vagy Imola?,Imola,Lili volt szomorú.,r
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,Sára nem vette észre Joli nem szeretetét.,j
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"A mondat szerint Joli nem vette észre, hogy nem szerette Sárát.",r
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Joli nem vette észre, hogy Sára nem szerette őt.",r
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Sára nem vette észre, hogy Joli nem szerette őt.",j
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Joli nem vette észre, hogy Sára nem szereti őt.",r
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Joli nem vette észre, hogy Sára nem szerette őt.",r
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Joli nem vette észre, hogy Sára nem szerette őt.",r
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Sára nem vette észre, hogy Joli nem szereti őt.",j
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Joli nem vette észre, hogy Sára nem szereti őt.",r
"Joli nem szerette Sárát, de nem vette észre.",Ki nem vette észre? Joli vagy Sára?,Sára,"Az adott szöveg alapján azt tudjuk állítani, hogy Joli nem vette észre, hogy Sára nem szereti őt.",r
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,"Joli nem mondta el Sárának, hogy nem szereti őt.",j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,"Joli nem mondta el Sárának, hogy nem szereti őt.",j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,Joli nem mondta el Sárának.,j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,"Joli nem mondta el Sárának, hogy nem szereti őt.",j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,"Joli nem mondta el Sárának, hogy nem szereti őt.",j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,"Joli nem mondta el Sárának, hogy nem szereti őt.",j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,"Joli nem mondta el Sárának, hogy nem szereti.",j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,"Joli nem mondta el Sárának, hogy nem szereti őt.",j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,Joli nem mondta el Sárának.,j
"Joli nem szerette Sárát, de nem mondta el neki.",Ki nem mondta el a másiknak? Joli vagy Sára?,Joli,Joli nem mondta el Sárának.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,"A főnök nem szerette a későket, mivel Ádám megpróbált elosonni mellette.",j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A mondat alapján a főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"Ádám megpróbált elosonni a főnök mellett, mert nem szerette a későket.",Ki nem szerette a későket? Ádám vagy a főnök?,a főnök,A főnök nem szerette a későket.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,"A horgász ejtette el a botját, mivel ő volt az, aki megfogta és kezében tartotta a botot. A hal nem lehetősége ejtette volna el a botot, mert a vízben van, és nincs fogása a bottal.",j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,A horgász ejtette el a botját.,j
"A horgász nagy halat fogott, de elejtette a botját.",Ki ejtette el a botját? A horgász vagy A hal?,A horgász,"A horgász ejtette el a botját, különösebb információ nélkül nem tudjuk pontosan megállapítani, hogy miért esett ki a kezéből. A halnak nincs lehetősége elengedni vagy elejteni a botot, mivel nincs keze vagy módja rá.",j
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,"A mondat alapján Tominak, vagyis a teljes nevével Tominak Gergő elvesztette a meccset, mert ő lőtt gólt a szétlövésben.",r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Tominak Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Gergő vesztette el a meccset.,r
"Tominak Gergő gólt lőtt a szétlövésben, így elvesztette a meccset.",Ki vesztette el a meccset? Gergő vagy Tomi?,Tomi,Tominak Gergő vesztette el a meccset.,r
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"Lotti volt szexi, mivel Lóri kérte meg, hogy hozzon neki fagylaltot, mert vonzónak találta őt.",j
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A szövegben Lóri mondja Lottinak, hogy hozzon neki fagylaltot, mert Lotti volt szexi. Tehát a szexis személy Lotti volt.",j
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A mondatban nem jelölnek ki egyértelműen, hogy melyikük volt szexi. Az információ hiányában nem lehet egyértelmű választ adni a kérdésre.",n
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A mondat alapján Lotti volt szexi, mert erre utal a ""mert szexi volt"" kifejezés.",j
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A mondatban azt mondják, hogy Lotti volt szexi.",j
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A mondat alapján Lóri volt az, aki szexi volt, és emiatt kérte Lottit, hogy hozzon neki fagylaltot.",r
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A mondat alapján Lotti volt az, akinek Lóri azt mondta, hogy szexi volt.",j
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A mondat alapján nem derül ki egyértelműen, hogy Lóri vagy Lotti volt szexi.",n
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,A mondat alapján Lóri volt szexi.,r
"Lóri megkérte Lottit, hogy hozzon neki fagylaltot, mert szexi volt.",Ki volt szexi? Lóri vagy Lotti?,Lotti,"A kérdés alapján nem tudjuk pontosan megmondani, hogy ki volt szexi. Azt csak Lóri és Lotti tudhatja, hogy szerintük melyikük szexi.",n
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,"Gábor fizette ki a vodkát, tehát Gábor tartozott pénzzel Ivánnak.",r
"Gábor pénzzel tartozott Ivánnak, mert kifizette a vodkát.",Ki fizette ki a vodkát? Gábor vagy Iván?,Iván,Gábor fizette ki a vodkát.,r
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,"A mondat nem egyértelmű, így lehetőség van mindkét személyre vonatkoztatni. Attól függően, hogy hogy van kommunikálva a kontextus, lehetséges értelmezések a következők: - István bízta meg Gyurit, mert Keményen dolgozott. Ebben az esetben Gyuri dolgozott keményen. - István bízta meg (valakit) és ezért dolgozott keményen. Ebben az esetben István dolgozott keményen. További információk szükségesek a pontos értelmezéshez.",n
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,István dolgozott keményen.,r
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,Gyuri dolgozott keményen.,j
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,A mondat szerint István dolgozott keményen.,r
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,Gyuri dolgozott keményen.,j
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,"Az információból nem derül ki, hogy István Gyuri nevezetes személyre utal vagy esetleg két különböző személyre. Azonban a mondatból azt lehet leszűrni, hogy ""ő"" vagyis a felsorolt személy (István vagy Gyuri) keményen dolgozott és ezért bízták meg Istvánt Gyurival. Konkrétan tehát nem válaszolható meg, hogy pontosan ki dolgozott keményen, mivel mindkét személy lehetőséget ad a kontextusban.",n
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,"Véleményem szerint a mondat nem egyértelmű, és lehetőség van arra, hogy mind István, mind Gyuri keményen dolgozott. A mondat alapján nem tudjuk pontosan, hogy ki dolgozott keményen.",n
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,István dolgozott keményen.,r
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,A mondat alapján István dolgozott keményen.,r
"István Gyurit bízta meg, mert keményen dolgozott.",Ki dolgozott keményen? István vagy Gyuri?,Gyuri,István dolgozott keményen.,r
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,István nem talált alkalmasabbat.,j
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,"A mondat nem egyértelmű, nem tudjuk pontosan, hogy István vagy Gyuri nem talált alkalmasabbat. Az előbbi értelmezés esetén István nem talált alkalmasabbat, míg az utóbbi értelmezés esetén Gyuri nem talált alkalmasabbat.",n
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,A mondat alapján István nem talált alkalmasabbat.,j
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,A kérdésben István nem talált alkalmasabbat.,j
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,"A kérdésből nem derül egyértelműen ki, hogy István vagy Gyuri talált alkalmasabbat. A mondat olyan általános, hogy értelmezés kérdése, és többféleképpen is értelmezhető lehet.",n
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,"A mondásban az találta, hogy István Gyurit bízta meg, mert nem talált alkalmasabbat. Tehát a mondás szerint István nem talált alkalmasabbat.",j
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,"A kérdésben nincs elegendő információ, hogy megállapítható legyen, hogy István vagy Gyuri talált-e alkalmasabbat.",n
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,István nem talált alkalmasabbat.,j
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,"A kérdés nem egyértelmű, ezért többféleképpen is értelmezhető. Ha az ""alkalmasabbat"" kifejezés Istvánt és Gyurit összehasonlítva értendő, akkor azt mondhatjuk, hogy István Gyurit találta alkalmasabbnak, mivel ő bízta meg. Ha csak Istvánra vonatkozik az ""alkalmasabbat"" kifejezés, akkor azt mondhatjuk, hogy István nem talált senkit más alkalmasabbat Gyurinál a megbízásra.",n
"István Gyurit bízta meg, mert nem talált alkalmasabbat.",Ki nem talált alkalmasabbat? István vagy Gyuri?,István,István nem talált alkalmasabbat.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A kérdés szerint a seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"A betyár lelőtte a seriffet, de visszalőtt.",Ki lőtt vissza? a betyár vagy a seriff?,a seriff,A seriff lőtt vissza.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlője hozta magától a pénzt.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlője hozta magától a pénzt.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,Magától a pénzt a bérlő hozta.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlője hozta magától a pénzt.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlő hozta magától a pénzt.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlője hozta magától a pénzt.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlő hozta magától a pénzt.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,Kornél hozta magától a pénzt.,r
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlő hozta magától a pénzt.,j
"Kornél tegnap elfelejtette emlékeztetni a bérlőjét, hogy fizetnie kell, de ma már magától hozta a pénzt.",Ki hozta magától a pénzt? Kornél vagy a bérlője?,a bérlője,A bérlő hozta magától a pénzt.,j
Enikő látta Elvirát elesni. Segítségért kiabált.,Ki kiabált segítségért? Enikő vagy Elvira?,Elvira,Enikő kiabált segítségért.,r
Enikő látta Elvirát elesni. Segítségért kiabált.,Ki kiabált segítségért? Enikő vagy Elvira?,Elvira,"Enikő kiabált segítségért, mivel látta Elvirát elesni és segítséget akart kérni.",r
